NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,REAL_CARS_PER_SECOND,REAL_CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA,FREQUENCY_DATA,DETECTIONS_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME
1,0,29.25265299987793,[0],0,NaN,NaN,10,32,1,5,1649071070427,1649071038427,undefined,undefined
1,10,109.62791199874879,[0.313],0.313,NaN,NaN,10,32,1,17,1649071080427,1649071048427,undefined,undefined
1,18,30.95613099861145,[0.563],0.563,NaN,NaN,10,32,1,23,1649071090427,1649071058427,undefined,undefined
1,26,46.94661200141907,[0.813],0.813,NaN,NaN,10,32,1,34,1649071100427,1649071068427,undefined,undefined
1,31,21.589193000793458,[0.969],0.969,NaN,NaN,10,32,1,35,1649071110427,1649071078427,undefined,undefined
1,38,33.373839000701906,[1.188],1.188,NaN,NaN,10,32,1,35,1649071120427,1649071088427,undefined,undefined
