NUMBER_SENSORS,NUMBER_DETECTIONS,TOTAL_TIME,CARS_PER_SECOND_BY_SENSOR,CARS_PER_SECOND_TOTAL,REAL_CARS_PER_SECOND,REAL_CARS_PER_SECOND_TOTAL,FREQUENCY,TIME_DATA,FREQUENCY_DATA,DETECTIONS_STORED,FROM_DATE,TO_DATE,MINIMUM_TIME,MAXIMUM_TIME
1,0,35.21148800039291,[0],0,NaN,NaN,10,32,1,10,1648221655876,1648221623876,undefined,undefined
1,11,22.98597200012207,[0.344],0.344,NaN,NaN,10,32,1,15,1648221665876,1648221633876,undefined,undefined
1,18,14.234301000118256,[0.563],0.563,NaN,NaN,10,32,1,25,1648221675876,1648221643876,undefined,undefined
1,28,19.314619000434874,[0.875],0.875,NaN,NaN,10,32,1,35,1648221685876,1648221653876,undefined,undefined
1,35,33.19383400011063,[1.094],1.094,NaN,NaN,10,32,1,35,1648221695876,1648221663876,undefined,undefined
1,44,21.691867000102995,[1.375],1.375,NaN,NaN,10,32,1,35,1648221705876,1648221673876,undefined,undefined
