NUMBER_SENSORS,FREQUENCY,TIME_DATA,MIN_TIME,MAX_TIME,AVG_TIME,STD_TIME,SUCCESFUL_CALCULATIONS,CALCULATIONS_OVER_MAX
1,10,32,15.567577003479004,48.75552500152588,29.870889666875204,11.911232426053653,6,0
2,10,32,28.253151000976562,113.13332000350952,59.73382550017039,20.128048917124058,12,0
2,10,32,38.225783000946045,337.10236800003054,107.61117441622416,91.39143938056408,12,0
